id,name,projectile_type,projectile_atk,bulletspeed,splash_size,projectile_model,,,,,
arrow,화살,single_projectile,player_atk*bow,20,,model://fd5e89be-2ec9-44e1-b48f-0cd66fe6f4ce,,ProjectileData자료형 정의,,,
cannonball,대포알,area_projectile,player_atk*cannon,35,4,model://c82e61e8-ef66-420c-839f-9d020b5455da,,컬럼명,역할,자료형,설명
minigun_bullet,미니건 총알,single_projectile,player_atk*turret_minigun,35,,model://24c57c57-ad5a-41bb-8900-70f6ec1e04a1,,id,투사체 테이블 ID,STRING,
deathperado_pt,데스페라도 검기,smite,player_atk*deathperado,-,9,model://cb27ce8d-b5e2-4cea-875f-22f3987de510,,name,투사체 이름,STRING,
pistol_bullet,권총 총알,single_projectile,player_atk*gun,30,,model://527ef289-dcf9-48e8-82c8-f8eccaed7844,,projectile_type,투사체 타입,ERUM,
fireball_pt,파이어 볼 투사체,area_projectile,player_atk*fireball,15,4,model://73ef1fec-cee0-4f53-836f-7d8b9d36eb0a,,projectile_atk,투사체 공격력,FLOAT,
sniper_bullet,스나이퍼 총알,single_projectile,player_atk*turret_sniper,40,,model://85ef0b90-89f7-422a-affd-9629c8ecbeb9,,bulletspeed,투사체 탄속,FLOAT,
gungnir_pt,궁니르 창,smite,player_atk*gungnir,-,,model://abdff2b5-178a-43fe-8321-63bc8e38f35e,,splash_size,광역 피해 거리,FLOAT,
,,,,,,,,projectile_atk_up,레벨 당 성장 공격력,FLOAT,
,,,,,,,,start_level,시작 레벨,INT,
,,,,,,,,max_level,최대 레벨,INT,
,,,,,,,,projectile_ model,투사체 모델,ERUM,
,,,,,,,,sprite_ruid,투사체 RUID,STRING,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,`,,,